1 Alice Beijing 13800138000
2 Bob Shanghai 13900139001
3 Charlie Guangzhou 13700137002
4 David Shenzhen 13600136003
5 Eve Chengdu 13500135004
6 Frank Wuhan 13400134005
7 Grace Hangzhou 13300133006
8 Helen Nanjing 13200132007
9 Ivy Tianjin 13100131008
10 Jack Chongqing 13000130009
11 Kevin Xian 13911112222
12 Lily Suzhou 13822223333
13 Mike Qingdao 13733334444
14 Nina Dalian 13644445555
15 Oscar Harbin 13555556666
16 Paul Jinan 13466667777
17 Queen Fuzhou 13377778888
18 Ray Xiamen 13288889999
19 Sam Changsha 13199990000
20 Tina Zhengzhou 13010101010
21 Uma Kunming 13920202020
22 Victor Nanchang 13830303030
23 Wendy Hefei 13740404040
24 Xander Hohhot 13650505050
25 Yuki Lanzhou 13560606060
26 Zack Yinchuan 13470707070
27 Amy Guiyang 13380808080
28 Brian Urumqi 13290909090
29 Cindy Lhasa 13101010101
30 Daniel Sanya 13012121212
31 Emma Shenyang 13923232323
32 Fred Jilin 13834343434
33 Gina Taiyuan 13745454545
34 Harry Baotou 13656565656
35 Irene Luoyang 13567676767
36 Jason Anyang 13478787878
37 Kate Kaifeng 13389898989
38 Leo Weifang 13290909091
39 Mona Zibo 13181818181
40 Nick Yantai 13070707070
41 Olivia Zhaoqing 13960606060
42 Peter Foshan 13850505050
43 Quinn Zhuhai 13740404041
44 Rita Dongguan 13630303031
45 Steve Zhongshan 13520202021
46 Tony Jiangmen 13410101011
47 Uma2 Shantou 13390909092
48 Vince Huizhou 13280808082
49 Will Meizhou 13170707073
50 Zoe Shanwei 13060606064
